Bowl   	Casserole  	Dish   	Tray  	Plate 	Diam 	Time 	Price
0	1	0	0	0	10.7	47.65	144
0	1	0	0	0	14	63.13	215
0	1	0	0	0	9	58.76	105
1	0	0	0	0	8	34.88	69
0	0	1	0	0	10	55.53	134
0	1	0	0	0	10.5	43.14	129
0	0	0	1	0	16	54.86	155
0	0	0	1	0	15	44.14	99
0	0	1	0	0	6.5	17.46	38.5
0	0	1	0	0	5	21.04	36.5
0	0	0	1	0	25	109.38	260
1	0	0	0	0	10.4	17.67	54
1	0	0	0	0	7.4	16.41	39
1	0	0	0	0	5.4	12.02	29.5
0	1	0	0	0	15.4	49.48	109
0	1	0	0	0	12.4	48.74	89.5
1	0	0	0	0	6	23.21	42
1	0	0	0	0	9	28.64	65
1	0	0	0	0	9	44.95	115
0	0	0	0	1	12.4	23.77	49.5
1	0	0	0	0	7.5	20.21	36.5
1	0	0	0	0	14	32.62	109
1	0	0	0	0	7	17.84	45
1	0	0	0	0	9	22.82	58
1	0	0	0	0	12	29.48	89
1	0	0	0	0	5.5	15.61	30
1	0	0	0	0	6	13.25	31
1	0	0	0	0	12	45.78	119
0	0	0	1	0	5.5	26.53	22
1	0	0	0	0	14.2	37.11	109
0	0	1	0	0	11	45.12	99
0	0	0	0	1	16	26.09	99
0	1	0	0	0	13.5	68.63	179
0	0	1	0	0	11.1	33.71	99
0	0	1	0	0	9.8	44.45	89
1	0	0	0	0	10	23.74	75
0	1	0	0	0	13	86.42	199
1	0	0	0	0	13	39.71	93
0	0	0	0	1	11.7	26.52	65
0	0	0	1	0	12.3	33.89	74
0	0	0	1	0	19.5	64.3	165
1	0	0	0	0	15.2	22.55	99
0	0	0	0	1	10	31.86	43.5
1	0	0	0	0	11	53.18	94
0	0	0	1	0	17.8	74.48	189
0	0	0	1	0	11.5	34.16	75
0	0	0	1	0	12.7	31.46	59.5
1	0	0	0	0	8	21.34	42
0	0	0	1	0	7.5	20.83	23
1	0	0	0	0	9	20.59	52.5
0	1	0	0	0	14	33.7	99
0	1	0	0	0	12.4	32.9	89
0	0	1	0	0	8.8	27.76	65
1	0	0	0	0	8.5	30.2	54.5
0	0	0	0	1	6	20.85	24.5
0	0	0	0	1	11	26.25	52
0	0	0	0	1	11.1	21.87	62.5
0	0	0	0	1	14.5	23.88	89
0	0	0	0	1	5	16.66	21.5
