RURAL  	BED   	MCDAYS 	TDAYS 	PCREV 	NSAL 	FEXP 	NETREV
0	244	128	385	23521	5230	5334	12957
1	59	155	203	9160	2459	493	6208
0	120	281	392	21900	6304	6115	9481
0	120	291	419	22354	6590	6346	9418
0	120	238	363	17421	5362	6225	5834
1	65	180	234	10531	3622	449	6460
1	120	306	372	22147	4406	4998	12743
1	90	214	305	14025	4173	966	8886
0	96	155	169	8812	1955	1260	5597
1	120	133	188	11729	3224	6442	2063
0	62	148	192	8896	2409	1236	5251
1	120	274	426	20987	2066	3360	15561
0	116	154	321	17655	5946	4231	7478
1	59	120	164	7085	1925	1280	3880
1	80	261	284	13089	4166	1123	7800
1	120	338	375	21453	5257	5206	10990
1	80	77	133	7790	1988	4443	1359
1	100	204	318	18309	4156	4585	9568
1	60	97	213	8872	1914	1675	5283
1	110	178	280	17881	5173	5686	7022
0	120	232	336	17004	4630	907	11467
0	135	316	442	23829	7489	3351	12989
1	59	163	191	9424	2051	1756	5617
0	60	96	202	12474	3803	2123	6548
1	25	74	83	4078	2008	4531	-2461
1	221	514	776	36029	1288	2543	32198
1	64	91	214	8782	4729	4446	-393
0	62	146	204	8951	2367	1064	5520
1	108	255	366	17446	5933	2987	8526
1	62	144	220	6164	2782	411	2971
0	90	151	286	2853	4651	4197	-5995
0	146	100	375	21334	6857	1198	13279
1	62	174	189	8082	2143	1209	4730
1	30	54	88	3948	3025	137	786
0	79	213	278	11649	2905	1279	7465
1	44	127	158	7850	1498	1273	5079
0	120	208	423	29035	6236	3524	19275
1	100	255	300	17532	3547	2561	11424
1	49	110	177	8197	2810	3874	1513
1	123	208	336	22555	6059	6402	10094
1	82	114	136	8459	1995	1911	4553
1	58	166	205	10412	2245	1122	7045
1	110	228	323	16661	4029	3893	8739
1	62	183	222	12406	2784	2212	7410
1	86	62	200	11312	3720	2959	4633
1	102	326	355	14499	3866	3006	7627
0	135	157	471	24274	7485	1344	15445
1	78	154	203	9327	3672	1242	4413
1	83	224	390	12362	3995	1484	6883
0	60	48	213	10644	2820	1154	6670
1	54	119	144	7556	2088	245	5223
0	120	217	327	20182	4432	6274	9476
