State	NDIR	Unemp	Wage	Crime	Income	Metrop	Poor	Taxes	Educ	BusFail	Temp	Region
Alabama	17.47	6.0	10.75	780	27196	67.4	16.4	1553	66.9	0.20	62.77	South
Arizona	49.60	6.4	11.17	715	31293	84.7	15.9	2122	78.7	0.51	61.09	West
Arkansas	23.62	5.3	9.65	593	25565	44.7	15.3	1590	66.3	0.08	59.57	South
California	-37.21	8.6	12.44	1078	35331	96.7	17.9	2396	76.2	0.63	59.25	West
Colorado	53.17	4.2	12.27	567	37833	81.8	9.0	2092	84.4	0.42	43.43	West
Connecticut	-38.41	5.6	13.53	456	41097	95.7	10.8	3334	79.2	0.33	48.63	Northeast
Delaware	22.43	4.9	13.90	686	35873	82.7	8.3	2336	77.5	0.19	54.58	South
Florida	39.73	6.6	9.97	1206	29294	93.0	14.9	2048	74.4	0.36	70.64	South
Georgia	39.24	5.2	10.35	723	31467	67.7	14.0	1999	70.9	0.33	63.54	South
Idaho	71.41	5.6	11.88	282	31536	30.0	12.0	1916	79.7	0.31	42.35	West
Illinois	-20.87	5.7	12.26	960	35081	84.0	12.4	2332	76.2	0.18	50.98	Midwest
Indiana	9.04	4.9	13.56	489	27858	71.6	13.7	1919	75.6	0.19	50.88	Midwest
Iowa	0.00	3.7	12.47	326	33079	43.8	10.7	2200	80.1	0.18	45.83	Midwest
Kansas	-1.25	5.3	12.14	469	28322	54.6	14.9	2126	81.3	0.42	52.03	Midwest
Kentucky	13.44	5.4	11.82	463	26595	48.5	18.5	1816	64.6	0.22	55.36	South
Louisiana	-13.94	8.0	13.13	1062	25676	75.0	25.7	1685	68.3	0.15	65.91	South
Maine	-9.77	7.4	11.68	126	30316	35.7	9.4	2281	78.8	0.31	40.23	Northeast
Maryland	-1.55	5.1	13.15	998	39198	92.8	10.7	2565	78.4	0.31	54.04	South
Massachusetts	-30.46	6.0	12.59	805	40500	96.2	9.7	2664	80.0	0.45	47.35	Northeast
Michigan	-13.19	5.9	16.13	792	35284	82.7	14.1	2371	76.8	0.27	43.68	Midwest
Minnesota	9.46	4.0	12.60	327	33644	69.3	11.7	2673	82.4	0.20	39.30	Midwest
Mississippi	5.33	6.6	9.40	434	25400	34.6	19.9	1535	64.3	0.12	63.18	South
Missouri	6.97	4.9	11.78	744	30190	68.3	15.6	1721	73.9	0.23	53.41	Midwest
Montana	41.50	5.1	12.50	178	27631	24.0	11.5	1853	81.0	0.20	40.40	West
Nebraska	-0.62	2.9	10.94	339	31794	50.6	8.8	2128	81.8	0.25	46.01	Midwest
Nevada	128.52	6.2	11.83	875	35871	84.8	11.1	2289	78.8	0.39	48.23	West
New Hampshire	-8.72	4.6	11.73	138	35245	59.4	7.7	2305	82.2	0.54	43.53	Northeast
New Jersey	-24.90	6.8	13.38	627	42280	100.0	9.2	3051	76.7	0.36	52.72	Northeast
New Mexico	29.05	6.3	10.14	930	26905	56.0	21.1	2131	75.1	0.27	53.37	Midwest
New York	-45.46	6.9	12.19	1074	31899	91.7	17.0	3655	74.8	0.38	44.85	Northeast
North Carolina	29.46	4.4	10.19	679	30114	66.3	14.2	1975	70.0	0.17	59.36	South
North Dakota	-26.47	3.9	10.19	82	28278	41.6	10.4	1986	76.7	0.23	38.53	Midwest
Ohio	-3.27	5.5	14.38	504	31855	81.3	14.1	2059	75.7	0.19	50.87	Midwest
Oklahoma	7.37	5.8	11.41	635	26991	60.1	16.7	1777	74.6	0.44	58.36	South
Oregon	49.63	5.4	12.31	503	31456	70.0	11.8	2169	81.5	0.31	46.55	West
Pennsylvania	-4.30	6.2	12.49	418	32066	84.8	12.5	2260	74.7	0.26	49.01	Northeast
Rhode Island	-35.32	7.1	10.35	402	31928	93.6	10.3	2405	72.0	0.35	49.99	Northeast
South Carolina	11.88	6.3	9.99	1023	29846	69.8	13.8	1736	68.3	0.11	62.53	South
South Dakota	13.71	3.3	9.19	208	29733	32.6	14.5	1668	77.1	0.24	42.89	Midwest
Tennessee	32.11	4.8	10.51	766	28639	67.7	14.6	1684	67.1	0.23	57.75	South
Texas	13.00	6.4	11.14	762	30775	83.9	19.1	1932	72.1	0.39	64.40	South
Utah	31.25	3.7	11.26	301	35716	77.5	8.0	1806	85.1	0.18	46.32	West
Vermont	3.940	4.7	11.54	114	35802	27.0	7.6	2379	80.8	0.30	42.46	Northeast
Virginia	6.940	4.9	11.25	372	37647	77.5	10.7	2073	75.2	0.27	55.55	South
Washington	44.66	6.4	14.42	515	33533	83.0	11.7	2433	83.8	0.38	46.93	Midwest
West Virginia	10.75	8.9	12.60	208	23564	41.8	18.6	1752	66.0	0.17	52.25	South
Wisconsin	11.73	4.7	12.41	264	35388	68.1	9.0	2524	78.6	0.24	42.20	Midwest
Wyoming	11.95	5.3	11.81	286	33140	29.7	9.3	2295	83.0	0.19	43.68	West
