CurrentMilk	Previous	Fat	Protein	Days	Lactation	I79
45	45	5.5	8.9	21	5	0
86	86	4.4	4.1	25	4	0
50	50	6.5	4	25	7	0
42	42	7.4	4.1	25	2	0
61	61	3.8	3.8	33	2	0
93	93	4.2	3	45	3	0
91	91	2.9	2.6	46	2	0
90	90	4.7	2.9	46	5	0
53	53	2.5	3.5	46	2	0
84	84	4.3	3.3	50	7	0
70	20	3.6	3.2	53	2	0
76	50	4.3	3.3	56	2	0
95	60	3	2.97	57	1	0
69	55	3.2	2.6	57	1	0
99	81	2.9	2.5	59	6	0
97	24	5.9	3	59	5	0
49	51	3.8	2.9	59	1	0
108	58	3.2	2.7	60	5	0
98	98	3.1	3.1	60	2	0
71	57	3.2	3.2	60	1	0
58	47	3.1	2.9	62	1	0
76	82	3.2	2.7	69	2	0
70	57	3.9	3.4	70	2	0
69	57	3.4	2.6	70	1	0
92	63	3.3	3.1	71	2	0
86	46	3	3.2	73	8	0
95	81	3.1	2.6	77	3	0
84	65	3.3	2.7	77	1	0
56	54	4.6	3.5	78	2	0
92	95	2.9	3	79	3	0
90	85	3.7	3	217	4	1
58	54	2.7	2.8	217	1	1
57	62	4.6	3.5	217	1	1
21	26	2.6	3.2	217	3	1
86	73	3.1	3.1	219	2	1
52	60	2.4	3	219	1	1
51	52	3.8	3.3	219	2	1
42	45	4.6	3.4	223	1	1
59	37	3.8	3.2	224	2	1
54	60	4.1	3.6	226	1	1
56	57	3.4	3.2	227	3	1
70	70	4.2	3.5	228	4	1
37	44	3.5	3.3	228	2	1
74	73	3.3	3.3	232	2	1
20	42	2.5	3	232	4	1
60	63	3.3	3	233	1	1
44	42	2.5	3.2	236	2	1
54	49	2.9	3.1	239	1	1
76	52	4.1	3	240	5	1
62	57	3.7	3.2	243	4	1
20	24	3.4	3.6	245	3	1
63	56	3.7	3.3	246	1	1
83	72	2.8	3.2	250	1	1
45	55	4.1	3.3	252	3	1
58	59	4	3.1	253	6	1
54	51	4.1	3.4	260	1	1
44	51	4.3	3.8	261	4	1
46	49	3.8	3.4	264	1	1
53	58	2.9	3	267	2	1
29	29	3.1	3.2	273	4	1
58	63	3.9	3.2	278	5	1
69	71	4.2	3.7	297	2	1
45	62	3.7	2.9	280	1	1
68	72	2.9	3.2	283	1	1
56	48	4.5	3.3	283	1	1
52	48	3.5	3.5	284	1	1
49	50	4.5	3.9	287	2	1
29	30	3.8	3.6	292	2	1
54	59	3.7	3.3	297	2	1
46	35	3.9	3.4	297	8	1
60	60	3.8	3.6	299	1	1
68	67	3.6	3.1	301	1	1
52	50	4.7	3.7	301	1	1
57	62	3.8	2.9	151	1	1
64	62	3.8	3.3	154	1	1
58	53	4.3	3.2	154	1	1
77	72	3.8	2.9	155	2	1
77	76	2.8	2.8	155	2	1
69	87	2.7	2.7	155	2	1
33	39	5.7	3.5	155	2	1
69	75	2.9	2.8	159	1	1
54	59	4.9	3.4	160	3	1
70	56	2.8	3.1	163	2	1
58	61	2.8	3.2	163	2	1
59	62	2.9	2.7	164	2	1
57	59	2.9	3.4	164	1	1
69	64	3.2	3.1	165	1	1
69	62	4.5	3.3	165	2	1
68	69	2.4	3.1	165	1	1
45	45	4.5	3.4	165	1	1
83	81	5.2	3	169	2	1
60	78	3.4	3.2	169	3	1
53	53	4	3.3	169	4	1
61	62	4.1	3	172	2	1
83	74	2.8	2.9	174	1	1
73	45	2.8	2.7	174	1	1
61	31	4.4	3.5	174	2	1
78	80	3.1	2.9	176	4	1
64	57	3.5	3.3	176	1	1
67	70	6.2	2.9	177	1	1
59	60	4	3.1	178	1	1
50	59	4.6	3	178	2	1
64	66	4.4	3.3	180	1	1
48	42	2.7	3.2	181	2	1
80	75	2.5	3.2	182	2	1
64	63	3.4	3.4	183	1	1
